pod index,K4.0 Greedy,K4.0 Dynamic,K8s_mostAllocated
"350,0","0,923","0,923","0,820"
"351,0","0,923","0,923","0,821"
"352,0","0,923","0,923","0,821"
"353,0","0,923","0,923","0,822"
"354,0","0,923","0,923","0,822"
"355,0","0,924","0,924","0,823"
"356,0","0,924","0,924","0,823"
"357,0","0,924","0,924","0,824"
"358,0","0,922","0,924","0,821"
"359,0","0,922","0,925","0,822"
"360,0","0,919","0,922","0,819"
"361,0","0,919","0,922","0,820"
"362,0","0,920","0,922","0,820"
"363,0","0,920","0,923","0,821"
"364,0","0,920","0,923","0,821"
"365,0","0,920","0,920","0,819"
"366,0","0,920","0,920","0,820"
"367,0","0,918","0,918","0,817"
"368,0","0,918","0,915","0,815"
"369,0","0,918","0,916","0,816"
"370,0","0,919","0,916","0,814"
"371,0","0,919","0,916","0,814"
"372,0","0,919","0,916","0,815"
"373,0","0,919","0,917","0,815"
"374,0","0,920","0,917","0,816"
"375,0","0,920","0,917","0,816"
"376,0","0,920","0,917","0,816"
"377,0","0,920","0,917","0,817"
"378,0","0,920","0,918","0,817"
"379,0","0,921","0,918","0,818"
"380,0","0,921","0,918","0,818"
"381,0","0,921","0,918","0,819"
"382,0","0,921","0,919","0,819"
"383,0","0,921","0,919","0,820"
"384,0","0,922","0,919","0,820"
"385,0","0,922","0,919","0,821"
"386,0","0,922","0,919","0,821"
"387,0","0,922","0,920","0,822"
"388,0","0,922","0,920","0,820"
"389,0","0,923","0,917","0,817"
"390,0","0,923","0,918","0,815"
"391,0","0,923","0,918","0,816"
"392,0","0,923","0,918","0,816"
"393,0","0,923","0,918","0,817"
"394,0","0,924","0,918","0,817"
"395,0","0,924","0,919","0,818"
"396,0","0,924","0,919","0,818"
"397,0","0,924","0,919","0,816"
"398,0","0,924","0,919","0,817"
"399,0","0,925","0,920","0,817"
"400,0","0,925","0,920","0,817"
"401,0","0,925","0,920","0,818"
"402,0","0,925","0,920","0,818"
"403,0","0,925","0,920","0,819"
"404,0","0,925","0,920","0,819"
"405,0","0,926","0,921","0,820"
"406,0","0,923","0,921","0,818"
"407,0","0,924","0,921","0,818"
"408,0","0,924","0,921","0,819"
"409,0","0,924","0,921","0,819"
"410,0","0,924","0,922","0,817"
"411,0","0,924","0,922","0,817"
"412,0","0,924","0,922","0,818"
"413,0","0,925","0,922","0,818"
