pod index,K4.0 Greedy,K4.0 Dynamic,K8s_leastAllocated
"254,0","0,412","0,471","0,882"
"255,0","0,412","0,471","0,951"
"256,0","0,412","0,471","0,888"
"257,0","0,412","0,471","1,0"
"258,0","0,412","0,471","1,0"
"259,0","0,341","0,471","0,948"
"260,0","0,412","0,471","1,0"
"261,0","0,412","0,471","1,0"
"262,0","0,412","0,471","0,924"
"263,0","0,412","0,471","1,0"
"264,0","0,412","0,471","1,0"
"265,0","0,412","0,471","1,0"
"266,0","0,412","0,471","0,930"
"267,0","0,412","0,471","0,890"
"268,0","0,412","0,471","0,800"
"269,0","0,341","0,471","0,959"
"270,0","0,341","0,471","0,959"
"271,0","0,341","0,471","0,871"
"272,0","0,341","0,471","0,922"
"273,0","0,341","0,471","0,835"
"274,0","0,341","0,471","0,836"
"275,0","0,341","0,471","0,836"
"276,0","0,341","0,471","0,930"
"277,0","0,341","0,471","1,0"
"278,0","0,341","0,471","1,0"
"279,0","0,341","0,471","1,0"
"280,0","0,341","0,471","1,0"
"281,0","0,341","0,471","1,0"
"282,0","0,341","0,471","0,938"
"283,0","0,341","0,471","0,938"
"284,0","0,412","0,471","0,938"
"285,0","0,412","0,471","1,0"
"286,0","0,412","0,471","1,0"
"287,0","0,412","0,471","1,0"
"288,0","0,412","0,471","1,0"
"289,0","0,412","0,471","1,0"
"290,0","0,412","0,471","1,0"
"291,0","0,412","0,471","1,0"
"292,0","0,341","0,471","1,0"
"293,0","0,341","0,421","0,960"
"294,0","0,341","0,421","0,938"
"295,0","0,341","0,421","1,0"
"296,0","0,341","0,421","0,965"
"297,0","0,341","0,421","0,965"
"298,0","0,341","0,421","0,965"
"299,0","0,341","0,421","1,0"
"300,0","0,341","0,421","1,0"
"301,0","0,341","0,421","1,0"
"302,0","0,341","0,421","1,0"
"303,0","0,341","0,421","1,0"
"304,0","0,341","0,421","0,906"
"305,0","0,341","0,421","1,0"
"306,0","0,412","0,421","1,0"
"307,0","0,412","0,421","1,0"
"308,0","0,412","0,421","1,0"
"309,0","0,412","0,421","0,976"
"310,0","0,412","0,421","1,0"
"311,0","0,412","0,421","0,954"
"312,0","0,412","0,421","0,993"
"313,0","0,412","0,421","0,993"
"314,0","0,412","0,421","0,924"
"315,0","0,412","0,421","0,924"
"316,0","0,341","0,421","0,924"
"317,0","0,302","0,421","0,924"
"318,0","0,302","0,421","0,819"
"319,0","0,341","0,421","0,930"
"320,0","0,341","0,421","0,896"
"321,0","0,341","0,421","0,896"
"322,0","0,341","0,421","0,930"
